,address,USDT_Counts,USDC_Counts,EURA_Counts,total_small_value_transactions,message_count,small_value_transaction_percentage
0,0xe396e454f1502481af51ddf354cb6746565528af,9,12,7,28,66,42.42424242424242
1,0xe78f9998778ab9e1e870201e5fa34f7498392718,8,9,5,22,72,30.555555555555557
2,0xd2ee6420c7127db549411e74d12117cbb9c96f25,8,13,8,29,68,42.64705882352941
3,0x995b8efdd822b0ccb9f4b35dbee0305f7d51a685,8,14,6,28,70,40.0
4,0xc0d0b2e301ec025b307c78023af6894af3565a56,8,12,9,29,68,42.64705882352941
5,0x2c89ec139b9720a80d640aa306b6e60e7b518533,8,12,9,29,68,42.64705882352941
6,0xb9fb5f5a2b3a67fabec405813efe31005cda7485,7,19,8,34,82,41.46341463414634
7,0xda9f4e212f8bad78e92e87b9d17064b457bcdd6c,7,18,8,33,92,35.869565217391305
8,0xf521432d60a713133acb706941945d4e7c7e46b1,7,9,9,25,64,39.0625
9,0x66de942f867b6cb7dbff11a71d2af016dc4d8608,7,12,8,27,73,36.986301369863014
10,0xd156e11cad5ba4035d7047530b03cee810d757a7,6,12,8,26,64,40.625
11,0xd58847d2f2e353ce5353346c06b294b47d0b03ce,6,11,5,22,68,32.35294117647059
12,0x3d94e639959b836407159f5d29a2e89974b2ac2e,6,16,17,39,76,51.31578947368421
13,0x5452848df441859ffbba8cfc55e812aab9defcc9,6,13,4,23,68,33.82352941176471
14,0x2a4d86eea15a4ac1cdafe4b24c0d6e05dce4d846,6,20,8,34,69,49.275362318840585
15,0x3c54a41d5722f037c341a1753e15abf5307ca444,6,16,8,30,67,44.776119402985074
16,0x5706ef44ab26cf7188f91b2590c7c90cb9161860,6,16,4,26,82,31.70731707317073
17,0xe794b7efc580d69b85edff9ecdc5752600480340,6,15,8,29,66,43.93939393939394
18,0x6f5f38a1a0b62bdee3cb03100988a11261c07061,6,17,4,27,60,45.0
19,0x3f37c9bf2ba291416c39024ef3c3a3d0e1ac22cc,6,20,9,35,65,53.84615384615385
20,0x7891242c554ebd431b1442e3faf24fd97a52e6d0,6,16,6,28,64,43.75
21,0x8d533cdfd1f3ce16293c5ca2c3f503dd6f20504a,6,17,8,31,67,46.26865671641791
22,0xe88782217172247e67049f825db05c7608c4f821,6,18,8,32,68,47.05882352941176
23,0x095eeac3ef9a498fb9ca19bbac0f38889aa26854,6,14,8,28,69,40.57971014492754
24,0x1f9cc23ef7e7781a597803d19cf0484f04fa6d93,6,15,11,32,65,49.23076923076923
25,0xa30220a42476909a97d93586a64ea4c19784dd6a,5,12,8,25,65,38.46153846153847
26,0x7c3a428f780fff10159be45e13fe5f3b6b799737,5,16,8,29,62,46.774193548387096
27,0x8ce2bf62dc6852b846b3a42135d1723973279c0d,5,13,7,25,66,37.878787878787875
28,0x783b7640176ca53931d666429a5bf911ea1675aa,5,16,7,28,62,45.16129032258064
29,0x56fc739465beb7aa9a44b4fe85d95960444a334d,5,15,9,29,70,41.42857142857143
30,0x80cb02ed44805cd65e7bfc72ed4bf95c5905db78,5,19,7,31,76,40.78947368421053
31,0xcc06c781639403b1effd10b5cd529e3ad2f4b0a0,5,8,6,19,62,30.64516129032258
32,0x889a853b0ade8355627b33692947a7be8ea11eac,5,8,4,17,68,25.0
33,0xc9b1bf533870e9b210bebcd7c9c724865e5717b6,5,19,9,33,65,50.76923076923077
34,0xfc2b3b2bad9510947739783c42f4392c28dc0c4f,5,15,7,27,72,37.5
35,0xcf5483c286779af9e8dcb037d28252ba8ea5d2be,5,10,8,23,69,33.33333333333333
36,0xb4e5d99978580225a57669c47e541bebc9fbeb37,5,11,10,26,63,41.269841269841265
37,0x60a11b87414168dbeda17834ef5581f40fd26078,5,12,9,26,67,38.80597014925373
38,0x34f96f1363bb3d37ca99916bd3d14737cae9b60e,5,15,9,29,68,42.64705882352941
39,0x29ae147b99b739f91fe35482e551b0932c0a80d5,5,14,12,31,58,53.44827586206896
40,0xbfc9266e85713724c6400026dfaed4ff28e7074a,5,12,13,30,70,42.857142857142854
41,0xa2ae20d5c00cb176b0d356d54f726cebe99a7f65,5,13,9,27,64,42.1875
42,0xcca985f6c8a404f0a013a1bda58345fd8c04f90f,5,11,13,29,75,38.666666666666664
43,0x5784dceb58d064789e1385ad712487161bccd5ae,5,16,12,33,73,45.20547945205479
44,0x030e226b39537e93ae7b0b52316933a5e3f7fb3d,5,17,7,29,66,43.93939393939394
45,0xbf96f50bf8993db8484c0bd2c5c785bd4784df83,5,14,7,26,66,39.39393939393939
46,0xdaa46e791c6ea892a79bced3a7d1047a5d5f3941,5,13,10,28,64,43.75
47,0xee7635c3bbf3b973d5c1d24b52d480d568249654,5,12,6,23,69,33.33333333333333
48,0x46d577d7a2c572f25b559088d97d027c6fb436e4,5,8,11,24,64,37.5
49,0xe77e2edbbd8806282a762be2dcfb4dcbe53ae3ac,5,14,9,28,65,43.07692307692308
50,0x0d7070591dbf2c8f378dc162b9207fa26967f5ee,5,14,7,26,61,42.62295081967213
51,0xef0cdd6445b8160f460b0f2ab1c9ed3677ab1bae,5,15,8,28,67,41.7910447761194
52,0x51d0e7f24611bdcb213dc710137871750716d3ad,5,15,7,27,63,42.857142857142854
53,0x630eb5b9a2a37c9c8bcf36b5fbc5072e08c1b558,5,21,8,34,71,47.88732394366197
54,0x5dd53d5c799b4fcb8560cf008cfaf13f396104b6,4,20,7,31,64,48.4375
55,0xa7c2280e34e3f3e7be8cf1c3d8b939cac2c4ea84,4,16,6,26,66,39.39393939393939
56,0x8a37578702fb61134e15d3c8719146417a66f8f6,4,12,14,30,63,47.61904761904761
57,0x55b3f804b51b2c700ff52e0485690cccd602609d,4,17,12,33,61,54.09836065573771
58,0xd90faae3c0c890dfdd5846439da5dbb21316b953,4,12,6,22,62,35.483870967741936
59,0x6cad97a57a2916a502836e7c02fda4c74b44cf69,4,14,11,29,69,42.028985507246375
60,0x7977af80755188fe8f345b27a06593e0f63d19b2,4,15,13,32,71,45.07042253521127
61,0xab12d1922c7d73e8e531e3ba0bca171aac231635,4,18,8,30,69,43.47826086956522
62,0x419bda472931e566b3958eeb56050c87c21f95db,4,15,5,24,65,36.92307692307693
63,0x424571324ecab7af7eedbb51386e2db023e6181b,4,13,13,30,65,46.15384615384615
64,0xe309433e82847136a234134f12e5833785272be5,4,19,14,37,66,56.060606060606055
65,0x516956acc021dd94fcd4603ae6af100ddbd4ba01,4,10,16,30,67,44.776119402985074
66,0xec06aa0f2e97290e54fde54c9113396de8a31754,4,12,8,24,67,35.82089552238806
67,0xb37a9da56337a7068a7b767c87abca135afec968,4,9,5,18,59,30.508474576271187
68,0xb89094082b6414a8d43c2d20923ebb135fee56dd,4,17,8,29,69,42.028985507246375
69,0xc3fffb778be7abc5130f1b8606c482850ee8e043,4,18,13,35,75,46.666666666666664
70,0x0f6bcd7038e917ec338d0db2c5e5990737361b1e,4,11,8,23,71,32.3943661971831
71,0xcd82c89c597a12f69f915e0f5e7466960cdbca40,4,15,12,31,68,45.588235294117645
72,0xbb340062207d69874759044da726f2575781555e,4,16,6,26,67,38.80597014925373
73,0x18924d28e69eca41e45b2d68394dad83caf37948,4,18,8,30,69,43.47826086956522
74,0x6efa37ab596fbae78870122af9f6ce2dbba82723,4,11,8,23,68,33.82352941176471
75,0xa16e0f20a6410ef2ba469007cc60d60151268c28,4,14,3,21,61,34.42622950819672
76,0x8987d24844582ae2c2bc349efce865cd121d15cd,4,17,10,31,72,43.05555555555556
77,0x7b4699280f36f39ca2eee79a85d69604382e666f,4,18,4,26,71,36.61971830985916
78,0xea44a496016750858cfaca940480d7e1b96188c5,4,12,4,20,60,33.33333333333333
79,0x068b4f5d1c21b11a14ffedd9edbd08cf17871550,4,12,8,24,66,36.36363636363637
80,0x144e750f790969c43978aed5777276f4c2ca4879,4,18,4,26,62,41.935483870967744
81,0xed4bbe97fc6c9b5beefd6c4538d80b301482c9c5,4,13,10,27,67,40.298507462686565
82,0x5af66c91fe48900cb57fb4b902d68fd15ebf8ccd,4,16,8,28,70,40.0
83,0x698b1f83f6ad79101097da9242e643d745ede987,3,14,4,21,64,32.8125
84,0xc696d610a7b3608faecd3bb5731baabfbcd9b502,3,15,6,24,60,40.0
85,0x15386471144f328b4b40bf5cdf8691d31705a4ba,3,8,11,22,62,35.483870967741936
86,0x6805e86b6109f02b86922adb7eb254a626f99f47,3,15,13,31,63,49.2063492063492
87,0x9a8d408a742f2e4e3919dd9e92d836adb8e9f6eb,3,8,16,27,66,40.909090909090914
88,0xb948e1be272a2cf3f2df91123419966a239b572b,3,13,5,21,71,29.577464788732392
89,0x0e924f5030f66fc2a27512bac477c9781063b3d6,3,18,5,26,66,39.39393939393939
