source_chain_name,source_hash,source_address,destination_chain_name,destination_hash,destination_address,timestamp,token,value
"Linea","0x7216d99e634958c2395a259d53ef0258320ce692aaa3b7f5cd366ac97fd016e4","0xd3d7dbe73bbdd5a5c7a49ca322763c4d400fc240","Linea","0x7216d99e634958c2395a259d53ef0258320ce692aaa3b7f5cd366ac97fd016e4","0xc1ff85e14686ce8a259f5fcc48fdfb9afdfa94de","2024-02-28 17:05:13.000","ETH","2.0"
"Linea","0x9a37335e467fca7ee9dce0d4dcc81ea1f7f1d5d64bf290e453aa85320a3d6748","0xc1ff85e14686ce8a259f5fcc48fdfb9afdfa94de","Linea","0x9a37335e467fca7ee9dce0d4dcc81ea1f7f1d5d64bf290e453aa85320a3d6748","0x80c67432656d59144ceff962e8faf8926599bcf8","2024-02-28 17:28:13.000","ETH","2.000700000000009"
"Base","0x00e38258d3bcd09f3849b51f38cf6664438849c70215f9f7b1d6bb6e29ecf903","0x80c67432656d59144ceff962e8faf8926599bcf8","Base","0x00e38258d3bcd09f3849b51f38cf6664438849c70215f9f7b1d6bb6e29ecf903","0xc1ff85e14686ce8a259f5fcc48fdfb9afdfa94de","2024-02-28 17:28:41.000","ETH","2.0"
"Base","0x3b603d72efe3d3d19c7012ec1622c6804a5d19184ccdd73c01b273831075b3ed","0xc1ff85e14686ce8a259f5fcc48fdfb9afdfa94de","Base","0x3b603d72efe3d3d19c7012ec1622c6804a5d19184ccdd73c01b273831075b3ed","0x80c67432656d59144ceff962e8faf8926599bcf8","2024-02-28 17:29:29.000","ETH","2.000500000000009"
"Linea","0x448e21f715ffffc7965264bbf08eeceed924453eee80b65bb578ea34911519c3","0x80c67432656d59144ceff962e8faf8926599bcf8","Linea","0x448e21f715ffffc7965264bbf08eeceed924453eee80b65bb578ea34911519c3","0xc1ff85e14686ce8a259f5fcc48fdfb9afdfa94de","2024-02-28 17:29:41.000","ETH","2.0"
"Linea","0x7b72107729d95fe7611f6eeeb10aeeb77c55782398ea4ca672bb6ede4818003e","0xc1ff85e14686ce8a259f5fcc48fdfb9afdfa94de","Linea","0x7b72107729d95fe7611f6eeeb10aeeb77c55782398ea4ca672bb6ede4818003e","0x80c67432656d59144ceff962e8faf8926599bcf8","2024-02-28 17:30:21.000","ETH","2.000700000000009"
"Base","0xc631cb78acb7b35e32093bca583eedf3462bf3e4af2faf927bce543b0aeb5ab3","0x80c67432656d59144ceff962e8faf8926599bcf8","Base","0xc631cb78acb7b35e32093bca583eedf3462bf3e4af2faf927bce543b0aeb5ab3","0xc1ff85e14686ce8a259f5fcc48fdfb9afdfa94de","2024-02-28 17:30:49.000","ETH","2.0"
"Base","0x9e6cd5259e36ce8c1f9f7200a5b6d5727dff7db92b0074ab63d4e46ff1846b8f","0xc1ff85e14686ce8a259f5fcc48fdfb9afdfa94de","Base","0x9e6cd5259e36ce8c1f9f7200a5b6d5727dff7db92b0074ab63d4e46ff1846b8f","0x80c67432656d59144ceff962e8faf8926599bcf8","2024-02-28 17:31:35.000","ETH","2.000500000000009"
"Linea","0x94ebb22a1eb663c290a26401dd6665ba86c4ba88447992ce6c3335f26ff2f33f","0x80c67432656d59144ceff962e8faf8926599bcf8","Linea","0x94ebb22a1eb663c290a26401dd6665ba86c4ba88447992ce6c3335f26ff2f33f","0xc1ff85e14686ce8a259f5fcc48fdfb9afdfa94de","2024-02-28 17:31:53.000","ETH","2.0"
"Linea","0xe8c50af098d6d9e3121db0735e6c9dfaa6527836dbdc9c4f23ee5b4156f9de13","0xc1ff85e14686ce8a259f5fcc48fdfb9afdfa94de","Linea","0xe8c50af098d6d9e3121db0735e6c9dfaa6527836dbdc9c4f23ee5b4156f9de13","0x80c67432656d59144ceff962e8faf8926599bcf8","2024-02-28 17:32:21.000","ETH","2.000700000000009"
"Base","0xa2f6ba46ff41cd1700e80698dbe7adcc6b6f3e8ad1ef00b87bb1ab537e289f8b","0x80c67432656d59144ceff962e8faf8926599bcf8","Base","0xa2f6ba46ff41cd1700e80698dbe7adcc6b6f3e8ad1ef00b87bb1ab537e289f8b","0xc1ff85e14686ce8a259f5fcc48fdfb9afdfa94de","2024-02-28 17:32:59.000","ETH","2.0"
"Base","0x697662b7c49a02faf7538ce90ba20149c71495279b4ba3fda5905d291545560d","0xc1ff85e14686ce8a259f5fcc48fdfb9afdfa94de","Base","0x697662b7c49a02faf7538ce90ba20149c71495279b4ba3fda5905d291545560d","0x80c67432656d59144ceff962e8faf8926599bcf8","2024-02-28 17:33:25.000","ETH","2.000500000000009"
"Linea","0x05e53cf0db5113c8be19a29797db3fc7b94a83d59df82dbd3274168f4b2d2d64","0x80c67432656d59144ceff962e8faf8926599bcf8","Linea","0x05e53cf0db5113c8be19a29797db3fc7b94a83d59df82dbd3274168f4b2d2d64","0xc1ff85e14686ce8a259f5fcc48fdfb9afdfa94de","2024-02-28 17:33:37.000","ETH","2.0"
"Linea","0xddc52a0062b4d374dce789cb177b47395aadfdc3baf5b7899437cc4446d085dd","0xc1ff85e14686ce8a259f5fcc48fdfb9afdfa94de","Linea","0xddc52a0062b4d374dce789cb177b47395aadfdc3baf5b7899437cc4446d085dd","0x80c67432656d59144ceff962e8faf8926599bcf8","2024-02-28 17:34:29.000","ETH","2.000700000000009"
"Scroll","0xa207e9ac52cdd27a282980e7348ef80162c033e530994463d7c7bc05f64af1e4","0x80c67432656d59144ceff962e8faf8926599bcf8","Scroll","0xa207e9ac52cdd27a282980e7348ef80162c033e530994463d7c7bc05f64af1e4","0xc1ff85e14686ce8a259f5fcc48fdfb9afdfa94de","2024-02-28 17:34:55.000","ETH","2.0"
"Scroll","0x60aa20c2461f1015efd802ba3773fbcffa7d24f02785286e61086cb615bc722f","0xc1ff85e14686ce8a259f5fcc48fdfb9afdfa94de","Scroll","0x60aa20c2461f1015efd802ba3773fbcffa7d24f02785286e61086cb615bc722f","0x80c67432656d59144ceff962e8faf8926599bcf8","2024-02-28 17:35:34.000","ETH","2.000500000000009"
"Linea","0xfb43eadd4923155ef59e0cf2e9302f59e1ddec29bad8d07fde66643bd18830af","0x80c67432656d59144ceff962e8faf8926599bcf8","Linea","0xfb43eadd4923155ef59e0cf2e9302f59e1ddec29bad8d07fde66643bd18830af","0xc1ff85e14686ce8a259f5fcc48fdfb9afdfa94de","2024-02-28 17:35:49.000","ETH","2.0"
"Linea","0x3586898dd556f0ebfe9ae6a5de58e9717a0f38bf8a762a71bfddb4a1df075a0f","0xc1ff85e14686ce8a259f5fcc48fdfb9afdfa94de","Linea","0x3586898dd556f0ebfe9ae6a5de58e9717a0f38bf8a762a71bfddb4a1df075a0f","0x80c67432656d59144ceff962e8faf8926599bcf8","2024-02-28 17:36:45.000","ETH","2.000700000000009"
"Scroll","0xd31fe671f7a4490fdb2404ecce1b95e9a6e81885c45d4fb69cd6ccd5d5000c29","0x80c67432656d59144ceff962e8faf8926599bcf8","Scroll","0xd31fe671f7a4490fdb2404ecce1b95e9a6e81885c45d4fb69cd6ccd5d5000c29","0xc1ff85e14686ce8a259f5fcc48fdfb9afdfa94de","2024-02-28 17:37:13.000","ETH","2.0"
